frame,ok,x,y,w,h,score,dt_ms
0,1,1249.00,1974.00,219.00,283.00,,637.272
1,1,1250.00,1974.00,219.00,283.00,,202.890
2,1,1252.00,1977.00,215.00,277.00,,191.611
3,1,1250.00,1976.00,219.00,283.00,,199.613
4,1,1250.00,1977.00,219.00,283.00,,190.719
5,1,1252.00,1977.00,219.00,283.00,,213.462
6,1,1251.00,1979.00,219.00,283.00,,191.162
7,1,1252.00,1980.00,219.00,283.00,,194.796
8,1,1252.00,1980.00,219.00,283.00,,196.975
9,1,1252.00,1981.00,219.00,283.00,,196.380
10,1,1253.00,1982.00,219.00,283.00,,192.150
11,1,1257.00,1985.00,215.00,277.00,,191.012
12,1,1256.00,1985.00,219.00,283.00,,193.262
13,1,1255.00,1984.00,223.00,289.00,,196.224
14,1,1256.00,1986.00,223.00,289.00,,194.953
15,1,1258.00,1989.00,219.00,283.00,,197.599
16,1,1256.00,1989.00,223.00,289.00,,194.716
17,1,1257.00,1990.00,223.00,289.00,,173.456
18,1,1258.00,1992.00,223.00,289.00,,149.696
19,1,1259.00,1994.00,223.00,289.00,,142.649
20,1,1260.00,1996.00,223.00,289.00,,137.895
21,1,1259.00,1995.00,228.00,294.00,,144.738
22,1,1259.00,1996.00,228.00,294.00,,148.948
23,1,1260.00,1997.00,228.00,294.00,,140.066
24,1,1260.00,1999.00,228.00,294.00,,141.816
25,1,1258.00,1998.00,232.00,300.00,,136.400
26,1,1262.00,2002.00,228.00,294.00,,122.962
27,1,1263.00,2003.00,228.00,294.00,,130.822
28,1,1264.00,2006.00,228.00,294.00,,127.037
29,1,1263.00,2005.00,232.00,300.00,,135.825
30,1,1261.00,2004.00,237.00,306.00,,134.236
31,1,1264.00,2009.00,232.00,300.00,,141.127
32,1,1265.00,2011.00,232.00,300.00,,126.496
33,1,1264.00,2010.00,237.00,306.00,,129.872
34,1,1264.00,2012.00,237.00,306.00,,129.727
35,1,1262.00,2011.00,242.00,312.00,,152.229
36,1,1266.00,2015.00,237.00,306.00,,130.600
37,1,1267.00,2016.00,237.00,306.00,,129.718
38,1,1265.00,2015.00,242.00,312.00,,130.906
39,1,1266.00,2018.00,242.00,312.00,,135.329
40,1,1263.00,2014.00,252.00,325.00,,139.503
41,1,1266.00,2017.00,247.00,319.00,,148.176
