frame,ok,x,y,w,h,score,dt_ms
0,1,1093.00,615.00,100.00,72.00,,2.200
1,1,1093.00,615.00,100.00,72.00,,2.184
2,1,1093.00,615.00,100.00,72.00,,2.204
3,1,1093.00,615.00,100.00,72.00,,1.999
4,1,1093.00,615.00,100.00,72.00,,2.177
5,1,1093.00,615.00,100.00,72.00,,2.220
6,1,1093.00,615.00,100.00,72.00,,2.091
7,1,1091.00,615.00,100.00,72.00,,2.228
8,1,1091.00,615.00,100.00,72.00,,1.884
9,1,1091.00,615.00,100.00,72.00,,1.966
10,1,1091.00,615.00,100.00,72.00,,2.815
11,1,1091.00,615.00,100.00,72.00,,2.083
12,1,1093.00,615.00,100.00,72.00,,2.000
13,1,1090.00,613.00,100.00,72.00,,2.135
14,1,1090.00,613.00,100.00,72.00,,2.200
15,1,1091.00,614.00,100.00,72.00,,2.066
16,1,1090.00,614.00,100.00,72.00,,2.891
17,1,1091.00,612.00,100.00,72.00,,2.418
18,1,1090.00,613.00,100.00,72.00,,2.043
19,1,1090.00,613.00,100.00,72.00,,2.063
20,1,1091.00,613.00,100.00,72.00,,2.151
21,1,1091.00,613.00,100.00,72.00,,3.009
22,1,1090.00,613.00,100.00,72.00,,3.352
23,1,1090.00,613.00,100.00,72.00,,2.061
24,1,1090.00,613.00,100.00,72.00,,2.057
25,1,1090.00,614.00,100.00,72.00,,2.109
26,1,1089.00,615.00,100.00,72.00,,2.355
27,1,1088.00,615.00,100.00,72.00,,2.061
28,1,1088.00,615.00,100.00,72.00,,2.187
29,1,1088.00,615.00,100.00,72.00,,2.342
30,1,1088.00,615.00,100.00,72.00,,2.206
31,1,1088.00,615.00,100.00,72.00,,2.120
32,1,1088.00,616.00,100.00,72.00,,2.118
33,1,1088.00,617.00,100.00,72.00,,2.580
34,1,1088.00,617.00,100.00,72.00,,2.288
35,1,1087.00,617.00,100.00,72.00,,2.098
36,1,1087.00,617.00,100.00,72.00,,2.226
37,1,1088.00,616.00,100.00,72.00,,2.097
38,1,1088.00,617.00,100.00,72.00,,2.068
39,1,1088.00,617.00,100.00,72.00,,2.557
40,0,1094.00,618.00,100.00,66.00,,1.380
41,1,1088.00,614.00,100.00,72.00,,2.154
42,1,1084.00,614.00,100.00,72.00,,2.416
43,1,1084.00,613.00,100.00,72.00,,2.040
44,1,1084.00,613.00,100.00,72.00,,2.125
45,1,1083.00,613.00,100.00,72.00,,2.015
46,1,1082.00,613.00,100.00,72.00,,2.052
47,1,1081.00,613.00,100.00,72.00,,2.053
48,1,1081.00,614.00,100.00,72.00,,2.223
49,1,1081.00,614.00,100.00,72.00,,2.023
50,1,1082.00,615.00,100.00,72.00,,2.062
51,1,1083.00,615.00,100.00,72.00,,1.984
52,1,1084.00,614.00,100.00,72.00,,2.035
53,1,1084.00,614.00,100.00,72.00,,1.813
54,1,1084.00,614.00,100.00,72.00,,2.083
55,1,1084.00,615.00,100.00,72.00,,2.068
56,1,1083.00,615.00,100.00,72.00,,1.967
57,1,1083.00,616.00,100.00,72.00,,2.173
58,1,1083.00,616.00,100.00,72.00,,2.124
59,1,1083.00,616.00,100.00,72.00,,1.899
60,1,1083.00,616.00,100.00,72.00,,1.917
61,1,1084.00,615.00,100.00,72.00,,1.593
62,1,1084.00,615.00,100.00,72.00,,2.018
63,1,1085.00,615.00,100.00,72.00,,2.128
64,1,1085.00,615.00,100.00,72.00,,1.808
65,1,1085.00,616.00,100.00,72.00,,2.099
66,1,1086.00,617.00,100.00,72.00,,1.973
