frame,ok,x,y,w,h,score,dt_ms
0,1,1051.00,2193.00,293.00,235.00,,215.855
1,1,1052.00,2193.00,293.00,235.00,,249.591
2,1,1048.00,2191.00,299.00,240.00,,196.910
3,1,1047.00,2193.00,299.00,240.00,,356.538
4,1,1049.00,2195.00,299.00,240.00,,247.478
5,1,1046.00,2193.00,305.00,244.00,,248.229
6,1,1046.00,2193.00,305.00,244.00,,230.182
7,1,1045.00,2193.00,305.00,244.00,,246.105
8,1,1044.00,2193.00,305.00,244.00,,247.062
9,1,1044.00,2191.00,305.00,244.00,,287.626
10,1,1051.00,2192.00,299.00,240.00,,276.806
11,1,1051.00,2196.00,293.00,235.00,,299.934
12,1,1050.00,2198.00,293.00,235.00,,241.989
13,1,1048.00,2199.00,293.00,235.00,,184.805
14,1,1045.00,2194.00,299.00,240.00,,236.887
15,1,1045.00,2195.00,299.00,240.00,,208.697
16,1,1045.00,2195.00,299.00,240.00,,178.708
17,1,1044.00,2196.00,299.00,240.00,,255.987
18,1,1044.00,2196.00,299.00,240.00,,194.682
19,1,1048.00,2200.00,293.00,235.00,,189.896
20,1,1047.00,2199.00,293.00,235.00,,283.397
21,1,1046.00,2198.00,293.00,235.00,,299.032
22,1,1046.00,2199.00,293.00,235.00,,231.070
23,1,1044.00,2198.00,299.00,240.00,,203.418
24,1,1047.00,2199.00,293.00,235.00,,196.882
25,1,1047.00,2201.00,293.00,235.00,,176.222
26,1,1046.00,2202.00,293.00,235.00,,241.623
27,1,1046.00,2201.00,293.00,235.00,,267.200
28,1,1043.00,2198.00,299.00,240.00,,331.760
29,1,1047.00,2201.00,293.00,235.00,,329.641
30,1,1046.00,2202.00,293.00,235.00,,308.993
31,1,1049.00,2204.00,287.00,230.00,,347.273
32,1,1048.00,2205.00,287.00,230.00,,393.625
33,1,1047.00,2206.00,287.00,230.00,,492.071
34,1,1047.00,2206.00,287.00,230.00,,359.473
35,1,1045.00,2203.00,293.00,235.00,,453.779
36,1,1046.00,2204.00,293.00,235.00,,534.146
37,1,1045.00,2204.00,293.00,235.00,,377.443
38,1,1048.00,2205.00,287.00,230.00,,600.853
39,1,1031.00,2295.00,282.00,226.00,,471.383
40,1,1045.00,2209.00,293.00,235.00,,703.449
41,1,1044.00,2205.00,299.00,240.00,,544.602
42,1,1045.00,2204.00,299.00,240.00,,518.908
43,1,1045.00,2203.00,299.00,240.00,,392.110
44,1,1047.00,2206.00,293.00,235.00,,356.661
45,1,1048.00,2208.00,293.00,235.00,,397.847
46,1,1048.00,2207.00,293.00,235.00,,376.833
47,1,1049.00,2208.00,293.00,235.00,,446.763
48,1,1050.00,2209.00,293.00,235.00,,392.447
49,1,1050.00,2208.00,293.00,235.00,,318.287
50,1,1048.00,2206.00,299.00,240.00,,318.366
51,1,1047.00,2207.00,299.00,240.00,,340.088
52,1,1051.00,2210.00,293.00,235.00,,322.449
53,1,1064.00,2208.00,293.00,235.00,,309.857
