frame,ok,x,y,w,h,score,dt_ms
0,1,1051.00,2192.00,293.00,235.00,,75.937
1,1,1050.00,2193.00,293.00,235.00,,90.521
2,1,1049.00,2192.00,293.00,235.00,,89.268
3,1,1050.00,2193.00,293.00,235.00,,84.786
4,1,1049.00,2194.00,293.00,235.00,,99.974
5,1,1048.00,2197.00,293.00,235.00,,91.350
6,1,1049.00,2194.00,293.00,235.00,,87.661
7,1,1048.00,2195.00,293.00,235.00,,92.492
8,1,1047.00,2194.00,293.00,235.00,,84.807
9,1,1046.00,2193.00,293.00,235.00,,83.374
10,0,1051.00,2192.00,293.00,235.00,,49.235
11,1,1045.00,2196.00,293.00,235.00,,98.088
12,1,1046.00,2199.00,293.00,235.00,,94.709
13,1,1045.00,2196.00,293.00,235.00,,83.355
14,1,1046.00,2195.00,293.00,235.00,,64.686
15,1,1045.00,2196.00,293.00,235.00,,64.720
16,1,1044.00,2197.00,293.00,235.00,,64.118
17,1,1043.00,2196.00,293.00,235.00,,54.178
18,1,1044.00,2199.00,293.00,235.00,,50.664
19,1,1045.00,2200.00,293.00,235.00,,51.770
20,1,1044.00,2199.00,293.00,235.00,,54.490
21,1,1043.00,2196.00,293.00,235.00,,58.022
22,1,1044.00,2199.00,293.00,235.00,,54.834
23,1,1043.00,2198.00,293.00,235.00,,49.811
24,1,1044.00,2199.00,293.00,235.00,,51.327
25,1,1043.00,2200.00,293.00,235.00,,51.730
26,1,1044.00,2203.00,293.00,235.00,,53.182
27,1,1043.00,2200.00,293.00,235.00,,53.190
28,1,1044.00,2199.00,293.00,235.00,,55.761
29,1,1045.00,2200.00,293.00,235.00,,57.030
30,1,1044.00,2201.00,293.00,235.00,,53.348
31,1,1043.00,2202.00,293.00,235.00,,50.258
32,1,1044.00,2203.00,293.00,235.00,,54.851
33,1,1043.00,2204.00,293.00,235.00,,53.668
34,1,1044.00,2203.00,293.00,235.00,,68.144
35,1,1043.00,2202.00,293.00,235.00,,75.700
36,1,1044.00,2203.00,293.00,235.00,,67.024
37,1,1043.00,2202.00,293.00,235.00,,63.395
38,1,1044.00,2201.00,293.00,235.00,,54.409
39,0,1051.00,2192.00,293.00,235.00,,27.124
40,1,1043.00,2206.00,293.00,235.00,,53.807
41,1,1044.00,2205.00,293.00,235.00,,51.397
42,1,1045.00,2204.00,293.00,235.00,,49.935
43,1,1046.00,2203.00,293.00,235.00,,52.076
