frame,ok,x,y,w,h,score,dt_ms
0,1,685.00,588.00,147.00,139.00,0.9775816798210144,7.522
1,1,684.00,591.00,147.00,139.00,0.9372345209121704,6.357
2,1,680.00,592.00,154.00,146.00,0.8882164359092712,5.084
3,1,682.00,595.00,154.00,146.00,0.8266831040382385,6.098
4,1,686.00,596.00,146.00,139.00,0.8067243099212646,5.172
5,1,688.00,595.00,139.00,132.00,0.7903566956520081,6.189
6,1,689.00,597.00,132.00,125.00,0.7869797945022583,4.817
7,1,692.00,598.00,125.00,119.00,0.7841954827308655,3.630
8,1,696.00,601.00,112.00,107.00,0.7859266996383667,3.165
9,0,685.00,587.00,147.00,139.00,0.3619415760040283,3.444
10,0,685.00,587.00,147.00,139.00,0.29786598682403564,1.445
11,0,685.00,587.00,147.00,139.00,0.2356260120868683,1.590
12,0,685.00,587.00,147.00,139.00,0.18458984792232513,1.622
13,0,685.00,587.00,147.00,139.00,0.14252495765686035,1.406
14,0,685.00,587.00,147.00,139.00,0.10053563863039017,1.556
15,0,685.00,587.00,147.00,139.00,0.04932338744401932,1.596
16,0,685.00,587.00,147.00,139.00,0.018953518941998482,1.530
17,0,685.00,587.00,147.00,139.00,-0.008305939845740795,1.930
18,0,685.00,587.00,147.00,139.00,-0.02651110105216503,1.662
19,0,685.00,587.00,147.00,139.00,-0.034654807299375534,1.372
20,0,685.00,587.00,147.00,139.00,-0.06307829171419144,1.670
21,0,685.00,587.00,147.00,139.00,-0.062282465398311615,1.556
22,0,685.00,587.00,147.00,139.00,-0.06051801145076752,1.877
23,0,685.00,587.00,147.00,139.00,-0.05309368669986725,1.455
24,0,685.00,587.00,147.00,139.00,-0.05507182329893112,1.761
25,0,685.00,587.00,147.00,139.00,-0.05081009492278099,1.539
26,0,685.00,587.00,147.00,139.00,-0.056250784546136856,1.634
27,0,685.00,587.00,147.00,139.00,-0.07510075718164444,1.298
28,0,685.00,587.00,147.00,139.00,-0.07233051210641861,1.511
29,0,685.00,587.00,147.00,139.00,-0.0765843465924263,1.317
30,0,685.00,587.00,147.00,139.00,-0.08351332694292068,1.889
31,0,685.00,587.00,147.00,139.00,-0.07418321073055267,1.775
32,0,685.00,587.00,147.00,139.00,-0.0840546265244484,1.375
33,0,685.00,587.00,147.00,139.00,-0.06979719549417496,1.839
34,0,685.00,587.00,147.00,139.00,-0.06595772504806519,2.086
35,0,685.00,587.00,147.00,139.00,-0.06222635507583618,1.982
36,0,685.00,587.00,147.00,139.00,-0.04537317529320717,1.692
37,0,685.00,587.00,147.00,139.00,-0.043726954609155655,1.415
38,0,685.00,587.00,147.00,139.00,-0.040387120097875595,1.805
39,0,685.00,587.00,147.00,139.00,-0.03155578300356865,1.220
40,0,685.00,587.00,147.00,139.00,-0.01439303532242775,1.202
41,0,685.00,587.00,147.00,139.00,0.011247346177697182,1.808
42,0,685.00,587.00,147.00,139.00,0.03735426440834999,1.341
43,0,685.00,587.00,147.00,139.00,0.0851697102189064,1.485
